month,date,window,fill_t,direction,dollars,win,risk_pts,cvd,open_vs_value,weekday,gated_kept
2026-02,2026-02-09,pre,09:25,short,-195.0,False,9.25,141.0,in_value,Monday,False
2026-02,2026-02-09,pre,09:28,long,-125.0,False,19.5,-81.0,in_value,Monday,True
2026-02,2026-02-10,pre,08:35,long,483.75,True,18.75,-232.0,in_value,Tuesday,True
2026-02,2026-02-26,pre,08:09,short,18.75,True,8.5,44.0,in_value,Thursday,False
2026-02,2026-02-26,pre,08:16,long,430.0,True,8.75,4.0,in_value,Thursday,False
2026-02,2026-02-02,pre,08:01,short,-500.0,False,24.5,-26.0,in_value,Monday,True
2026-02,2026-02-02,pre,08:17,short,-440.0,False,21.5,-55.0,in_value,Monday,True
2026-02,2026-02-03,pre,08:20,long,-70.0,False,3.0,-4.0,in_value,Tuesday,True
2026-02,2026-02-03,pre,08:21,long,-35.0,False,1.25,16.0,in_value,Tuesday,False
2026-02,2026-02-17,pre,08:35,short,-310.0,False,14.25,-57.0,in_value,Tuesday,True
2026-02,2026-02-17,pre,08:37,long,1225.0,True,16.5,-30.0,in_value,Tuesday,True
2026-02,2026-02-19,pre,08:01,short,-135.0,False,6.25,-33.0,in_value,Thursday,True
2026-02,2026-02-19,pre,09:17,long,-170.0,False,8.0,-32.0,in_value,Thursday,True
2026-02,2026-02-23,pre,08:05,long,1790.0,True,8.75,-27.0,in_value,Monday,True
2026-02,2026-02-24,pre,08:04,short,-205.0,False,9.75,28.0,in_value,Tuesday,False
2026-02,2026-02-24,pre,08:05,short,-45.0,False,1.75,-18.0,in_value,Tuesday,True
2026-02,2026-02-09,golden,10:03,long,-45.0,False,1.75,21.0,in_value,Monday,False
2026-02,2026-02-10,golden,09:52,long,661.88,True,60.5,-415.0,in_value,Tuesday,True
2026-02,2026-02-11,golden,09:47,long,-10.0,False,2.25,16.0,in_value,Wednesday,False
2026-02,2026-02-11,golden,09:48,short,2067.5,True,39.75,-92.0,in_value,Wednesday,True
2026-02,2026-02-25,golden,10:08,short,975.0,True,12.5,-308.0,above_value,Wednesday,True
2026-02,2026-02-27,golden,09:46,short,-160.0,False,7.5,55.0,below_value,Friday,False
2026-02,2026-02-16,golden,10:12,short,860.0,True,13.25,-160.0,in_value,Monday,True
2026-03,2026-03-02,pre,08:35,short,917.5,True,10.0,-58.0,in_value,Monday,True
2026-03,2026-03-05,pre,08:20,short,-25.0,False,1.5,4.0,in_value,Thursday,False
2026-03,2026-03-05,pre,08:21,long,-260.0,False,11.75,-7.0,in_value,Thursday,True
2026-03,2026-03-09,pre,08:55,short,-465.0,False,22.75,9.0,above_value,Monday,False
2026-03,2026-03-12,pre,08:26,long,-405.0,False,19.0,10.0,in_value,Thursday,False
2026-03,2026-03-12,pre,08:37,short,-400.0,False,18.75,-71.0,in_value,Thursday,True
2026-03,2026-03-13,pre,09:13,long,-365.0,False,17.75,-56.0,in_value,Friday,True
2026-03,2026-03-17,pre,08:26,long,2580.0,True,12.0,23.0,in_value,Tuesday,False
2026-03,2026-03-19,pre,09:01,short,-260.0,False,12.5,-84.0,in_value,Thursday,True
2026-03,2026-03-20,pre,08:06,long,1310.0,True,28.25,38.0,in_value,Friday,False
2026-03,2026-03-24,pre,08:51,short,-240.0,False,11.5,39.0,in_value,Tuesday,False
2026-03,2026-03-24,pre,08:59,long,-65.0,False,2.75,87.0,in_value,Tuesday,False
2026-03,2026-03-25,pre,08:52,short,-230.0,False,11.0,48.0,in_value,Wednesday,False
2026-03,2026-03-25,pre,08:55,long,-550.0,False,27.0,-97.0,in_value,Wednesday,True
2026-03,2026-03-26,pre,09:28,short,-270.0,False,13.0,-3.0,below_value,Thursday,False
2026-03,2026-03-31,pre,09:13,short,-65.0,False,2.75,37.0,in_value,Tuesday,False
2026-03,2026-03-31,pre,09:16,short,-100.0,False,4.5,19.0,in_value,Tuesday,False
2026-03,2026-03-04,golden,09:49,short,-280.0,False,12.75,413.0,in_value,Wednesday,False
2026-03,2026-03-04,golden,09:50,long,-490.0,False,23.25,-348.0,in_value,Wednesday,True
2026-03,2026-03-05,golden,10:10,short,-555.0,False,27.25,-333.0,in_value,Thursday,True
2026-03,2026-03-13,golden,10:06,short,-440.0,False,20.75,87.0,in_value,Friday,False
2026-03,2026-03-16,golden,09:43,long,-340.0,False,16.5,269.0,above_value,Monday,False
2026-03,2026-03-16,golden,09:44,long,-200.0,False,9.5,444.0,above_value,Monday,False
2026-03,2026-03-17,golden,10:02,short,905.0,True,12.25,495.0,in_value,Tuesday,False
2026-03,2026-03-19,golden,09:49,long,2060.0,True,33.5,-46.0,in_value,Thursday,True
2026-03,2026-03-24,golden,09:59,short,-335.0,False,15.5,209.0,in_value,Tuesday,False
2026-03,2026-03-26,golden,10:04,long,-430.0,False,20.25,-39.0,below_value,Thursday,False
2026-03,2026-03-31,golden,10:13,short,-605.0,False,29.75,213.0,in_value,Tuesday,False
2026-04,2026-04-02,pre,08:50,long,-320.0,False,15.5,14.0,below_value,Thursday,False
2026-04,2026-04-02,pre,09:05,short,-280.0,False,13.5,-28.0,below_value,Thursday,False
2026-04,2026-04-07,pre,08:45,short,-95.0,False,3.5,-50.0,in_value,Tuesday,True
2026-04,2026-04-08,pre,08:02,long,415.0,True,12.5,-19.0,in_value,Wednesday,True
2026-04,2026-04-10,pre,08:07,short,-225.0,False,10.75,-29.0,in_value,Friday,True
2026-04,2026-04-10,pre,08:09,long,420.0,True,9.0,-51.0,in_value,Friday,True
2026-04,2026-04-13,pre,08:14,short,-100.0,False,4.5,17.0,in_value,Monday,False
2026-04,2026-04-13,pre,08:35,long,980.0,True,19.0,-58.0,in_value,Monday,True
2026-04,2026-04-15,pre,08:02,long,-25.0,False,0.75,143.0,in_value,Wednesday,False
2026-04,2026-04-15,pre,08:09,long,-245.0,False,11.75,-5.0,in_value,Wednesday,True
2026-04,2026-04-20,pre,09:06,long,-350.0,False,17.0,-24.0,in_value,Monday,True
2026-04,2026-04-20,pre,09:21,short,-255.0,False,12.25,90.0,in_value,Monday,False
2026-04,2026-04-21,pre,08:33,short,-135.0,False,5.5,104.0,above_value,Tuesday,False
2026-04,2026-04-21,pre,09:27,long,-200.0,False,9.5,-23.0,above_value,Tuesday,True
2026-04,2026-04-22,pre,08:29,short,-75.0,False,3.25,22.0,in_value,Wednesday,False
2026-04,2026-04-22,pre,09:09,long,-15.0,False,0.25,-56.0,in_value,Wednesday,True
